"Participant";"Exposure";"PSE";"target";"time"
1;"m";23,0594800281346;"self";"pre"
1;"m";23,4712673877609;"other";"pre"
1;"m";26,1283184570736;"self";"post"
1;"m";26,7576802217089;"other";"post"
2;"m";22,2315960009162;"self";"pre"
2;"m";22,4094165734565;"other";"pre"
2;"m";26,0222095353371;"self";"post"
2;"m";26,209363425357;"other";"post"
3;"m";23,7865500037926;"self";"pre"
3;"m";23,6548776720313;"other";"pre"
3;"m";25,7847885535617;"self";"post"
3;"m";25,7873711063919;"other";"post"
4;"c";21,1025398475694;"self";"pre"
4;"c";19,32444736222;"other";"pre"
4;"c";24,5486810294568;"self";"post"
4;"c";22,0198013707163;"other";"post"
6;"m";24,842950940169;"self";"pre"
6;"m";21,8063385160274;"other";"pre"
6;"m";28,9470002515769;"self";"post"
6;"m";24,4297383658787;"other";"post"
8;"m";20,1495397556777;"self";"pre"
8;"m";20,028237905651;"other";"pre"
8;"m";22,2862626326048;"self";"post"
8;"m";22,2251307943658;"other";"post"
9;"c";24,1162952044036;"self";"pre"
9;"c";23,4097281724832;"other";"pre"
9;"c";26,5534276470626;"self";"post"
9;"c";29,5940767334567;"other";"post"
10;"c";27,0699490238669;"self";"pre"
10;"c";24,6580335237735;"other";"pre"
10;"c";29,3932559783564;"self";"post"
10;"c";27,1371223482499;"other";"post"
11;"c";25,1844861659915;"self";"pre"
11;"c";24,8688637564965;"other";"pre"
11;"c";30,7915784785709;"self";"post"
11;"c";29,4614259471058;"other";"post"
12;"c";24,7917521060156;"self";"pre"
12;"c";25,6585353745107;"other";"pre"
12;"c";27,4744071219342;"self";"post"
12;"c";26,7866293871048;"other";"post"
13;"m";24,2694723722549;"self";"pre"
13;"m";22,61139073353;"other";"pre"
13;"m";26,1596341647732;"self";"post"
13;"m";24,4064680777673;"other";"post"
14;"c";19,7912554042687;"self";"pre"
14;"c";20,619576152213;"other";"pre"
14;"c";22,916190656195;"self";"post"
14;"c";24,9660834578566;"other";"post"
15;"m";30,5237994329103;"self";"pre"
15;"m";27,0286739152725;"other";"pre"
15;"m";31,7683308778627;"self";"post"
15;"m";29,6254072031667;"other";"post"
16;"c";20,8863061215262;"self";"pre"
16;"c";18,7244193335413;"other";"pre"
16;"c";23,2107363968507;"self";"post"
16;"c";21,4642194398789;"other";"post"
17;"m";28,4938857374607;"self";"pre"
17;"m";25,2269651661353;"other";"pre"
17;"m";29,797298127725;"self";"post"
17;"m";28,0602520085927;"other";"post"
18;"m";23,1734806478774;"self";"pre"
18;"m";22,346267367936;"other";"pre"
18;"m";27,5372690740134;"self";"post"
18;"m";25,4838508598833;"other";"post"
19;"m";23,353333016407;"self";"pre"
19;"m";26,0467243623582;"other";"pre"
19;"m";26,1980300045839;"self";"post"
19;"m";27,8061805734098;"other";"post"
21;"m";22,9733973336219;"self";"pre"
21;"m";21,5105542377901;"other";"pre"
21;"m";27,8217339037956;"self";"post"
21;"m";23,7521752567769;"other";"post"
22;"c";30,221665978573;"self";"pre"
22;"c";24,6913358950995;"other";"pre"
22;"c";29,4285192811941;"self";"post"
22;"c";27,9340587993783;"other";"post"
23;"m";27,7202287549634;"self";"pre"
23;"m";24,5362063737545;"other";"pre"
23;"m";30,5966855928563;"self";"post"
23;"m";27,5534033720667;"other";"post"
24;"m";22,8924905299779;"self";"pre"
24;"m";24,6066964346659;"other";"pre"
24;"m";27,6092520765035;"self";"post"
24;"m";27,5373474908843;"other";"post"
25;"m";25,6589160337068;"self";"pre"
25;"m";23,6340383615285;"other";"pre"
25;"m";28,7319306967162;"self";"post"
25;"m";28,1793456261948;"other";"post"
26;"c";27,0459916900945;"self";"pre"
26;"c";28,6478193593632;"other";"pre"
26;"c";31,0708085136479;"self";"post"
26;"c";31,6471774538005;"other";"post"
27;"c";23,6744110538979;"self";"pre"
27;"c";22,2615440772154;"other";"pre"
27;"c";28,6643884651953;"self";"post"
27;"c";27,0548096237574;"other";"post"
29;"c";31,2847764355139;"self";"pre"
29;"c";23,6888841918105;"other";"pre"
29;"c";32,4415529620143;"self";"post"
29;"c";25,154979113435;"other";"post"
30;"c";19,6037130403301;"self";"pre"
30;"c";21,051829988698;"other";"pre"
30;"c";22,9257546301679;"self";"post"
30;"c";22,555077490342;"other";"post"
31;"m";26,7543559624542;"self";"pre"
31;"m";24,7762999426284;"other";"pre"
31;"m";31,6908060319852;"self";"post"
31;"m";29,5668530278363;"other";"post"
33;"c";22,4768726447611;"self";"pre"
33;"c";23,9062890064952;"other";"pre"
33;"c";27,6098141836086;"self";"post"
33;"c";29,5336780036334;"other";"post"
34;"c";22,3297700366221;"self";"pre"
34;"c";22,982468831816;"other";"pre"
34;"c";23,4211764600459;"self";"post"
34;"c";23,0786756888403;"other";"post"
35;"c";24,9581298334651;"self";"pre"
35;"c";23,5723487529806;"other";"pre"
35;"c";28,151813972199;"self";"post"
